1287,cake,,,,,,,,,,,,,,,,,,,
47,avocado,muffins,,,,,,,,,,,,,,,,,,
2753,fresh tuna,ground beef,spaghetti,avocado,whole wheat rice,rice,cooking oil,chocolate,frozen smoothie,mushroom cream sauce,,,,,,,,,,
5248,energy bar,chocolate,cottage cheese,,,,,,,,,,,,,,,,,
5276,nonfat milk,chicken,body spray,gluten free bar,light mayo,honey,,,,,,,,,,,,,,
3364,frozen smoothie,,,,,,,,,,,,,,,,,,,
502,shrimp,spaghetti,mineral water,soup,milk,bramble,frozen smoothie,cottage cheese,,,,,,,,,,,,
2444,burgers,fresh tuna,avocado,,,,,,,,,,,,,,,,,
3639,herb & pepper,avocado,salmon,rice,cottage cheese,magazines,green tea,,,,,,,,,,,,,
5156,mineral water,cake,,,,,,,,,,,,,,,,,,
5121,green tea,mushroom cream sauce,,,,,,,,,,,,,,,,,,
6214,mineral water,chocolate,eggs,rice,light mayo,,,,,,,,,,,,,,,
6512,red wine,ground beef,mineral water,salmon,eggs,pet food,,,,,,,,,,,,,,
2579,meatballs,cake,,,,,,,,,,,,,,,,,,
505,fresh tuna,spaghetti,chocolate,olive oil,chicken,french fries,,,,,,,,,,,,,,
2055,whole wheat rice,chocolate,escalope,,,,,,,,,,,,,,,,,
6730,french fries,,,,,,,,,,,,,,,,,,,
6633,turkey,spinach,eggs,,,,,,,,,,,,,,,,,
1322,salmon,green tea,,,,,,,,,,,,,,,,,,
6791,mineral water,eggs,honey,protein bar,,,,,,,,,,,,,,,,
4693,tomatoes,champagne,strawberries,yogurt cake,green tea,,,,,,,,,,,,,,,
2292,frozen vegetables,mineral water,cereals,sparkling water,energy drink,,,,,,,,,,,,,,,
4897,chocolate,parmesan cheese,ground beef,mineral water,pancakes,protein bar,low fat yogurt,,,,,,,,,,,,,
3001,mineral water,avocado,milk,olive oil,strong cheese,cauliflower,,,,,,,,,,,,,,
2924,pasta,energy drink,,,,,,,,,,,,,,,,,,
5947,dessert wine,,,,,,,,,,,,,,,,,,,
6396,french fries,,,,,,,,,,,,,,,,,,,
3341,yogurt cake,,,,,,,,,,,,,,,,,,,
6223,pancakes,,,,,,,,,,,,,,,,,,,
1824,energy bar,,,,,,,,,,,,,,,,,,,
6337,hot dogs,yogurt cake,,,,,,,,,,,,,,,,,,
7255,whole wheat pasta,,,,,,,,,,,,,,,,,,,
402,red wine,pancakes,,,,,,,,,,,,,,,,,,
512,burgers,ground beef,spaghetti,eggs,french fries,,,,,,,,,,,,,,,
2336,cake,french fries,,,,,,,,,,,,,,,,,,
400,pepper,frozen smoothie,,,,,,,,,,,,,,,,,,
4182,whole wheat rice,cookies,protein bar,hand protein bar,,,,,,,,,,,,,,,,
4304,pancakes,,,,,,,,,,,,,,,,,,,
4180,burgers,mineral water,salmon,vegetables mix,pancakes,eggs,frozen smoothie,body spray,,,,,,,,,,,,
3249,turkey,red wine,whole wheat rice,bug spray,rice,green beans,,,,,,,,,,,,,,
6558,eggs,whole wheat rice,energy drink,,,,,,,,,,,,,,,,,
2725,champagne,yogurt cake,,,,,,,,,,,,,,,,,,
3107,chocolate,frozen smoothie,cookies,,,,,,,,,,,,,,,,,
913,cereals,salt,green tea,,,,,,,,,,,,,,,,,
6205,french fries,hot dogs,,,,,,,,,,,,,,,,,,
1848,chocolate,,,,,,,,,,,,,,,,,,,
3081,burgers,turkey,red wine,parmesan cheese,spaghetti,mineral water,soup,avocado,milk,black tea,salmon,green tea,cottage cheese,gluten free bar,,,,,,
5114,hot dogs,pancakes,,,,,,,,,,,,,,,,,,
984,frozen vegetables,spaghetti,olive oil,butter,salmon,oil,cooking oil,frozen smoothie,cauliflower,,,,,,,,,,,
6649,ham,muffins,eggs,french fries,cottage cheese,fresh bread,,,,,,,,,,,,,,
3809,ground beef,spaghetti,eggs,,,,,,,,,,,,,,,,,
4996,shrimp,ground beef,tomato sauce,spaghetti,chocolate,olive oil,bacon,mashed potato,brownies,,,,,,,,,,,
5700,whole wheat rice,ham,chocolate,frozen smoothie,,,,,,,,,,,,,,,,
2883,french fries,yogurt cake,low fat yogurt,,,,,,,,,,,,,,,,,
6841,herb & pepper,whole wheat pasta,milk,olive oil,,,,,,,,,,,,,,,,
4065,mineral water,candy bars,,,,,,,,,,,,,,,,,,
2181,escalope,,,,,,,,,,,,,,,,,,,
1173,chocolate,mineral water,,,,,,,,,,,,,,,,,,
3078,cookies,low fat yogurt,,,,,,,,,,,,,,,,,,
6597,burgers,eggs,french fries,pancakes,,,,,,,,,,,,,,,,
5362,spaghetti,mineral water,milk,energy bar,french wine,frozen smoothie,,,,,,,,,,,,,,
1037,milk,hand protein bar,,,,,,,,,,,,,,,,,,
4149,french fries,,,,,,,,,,,,,,,,,,,
2418,whole wheat pasta,zucchini,,,,,,,,,,,,,,,,,,
4894,tomatoes,ground beef,butter,flax seed,nonfat milk,light mayo,,,,,,,,,,,,,,
2904,mineral water,cake,burger sauce,,,,,,,,,,,,,,,,,
5117,frozen vegetables,tomatoes,whole wheat pasta,muffins,honey,,,,,,,,,,,,,,,
533,frozen vegetables,soup,almonds,eggs,french fries,,,,,,,,,,,,,,,
4523,spaghetti,whole wheat rice,cake,chocolate,cookies,,,,,,,,,,,,,,,
6130,french fries,,,,,,,,,,,,,,,,,,,
3698,green tea,,,,,,,,,,,,,,,,,,,
1508,candy bars,,,,,,,,,,,,,,,,,,,
1990,mineral water,milk,eggs,chocolate,,,,,,,,,,,,,,,,
1860,rice,burger sauce,french fries,frozen smoothie,sandwich,fresh bread,,,,,,,,,,,,,,
3898,burgers,fresh tuna,grated cheese,spaghetti,mineral water,avocado,olive oil,gums,frozen smoothie,hot dogs,cottage cheese,,,,,,,,,
290,chocolate,cookies,babies food,,,,,,,,,,,,,,,,,
6044,french fries,,,,,,,,,,,,,,,,,,,
5659,fresh tuna,herb & pepper,mineral water,olive oil,chicken,muffins,chocolate,yogurt cake,,,,,,,,,,,,
1084,mineral water,eggplant,french fries,escalope,tomato juice,toothpaste,,,,,,,,,,,,,,
2347,turkey,burgers,tomatoes,spaghetti,eggs,whole weat flour,pancakes,,,,,,,,,,,,,
503,mineral water,eggs,protein bar,,,,,,,,,,,,,,,,,
5924,shrimp,tomatoes,spaghetti,,,,,,,,,,,,,,,,,
1513,shrimp,butter,soda,chocolate,tomato juice,,,,,,,,,,,,,,,
699,herb & pepper,ground beef,mineral water,chicken,,,,,,,,,,,,,,,,
4334,turkey,burgers,spaghetti,honey,carrots,brownies,green tea,,,,,,,,,,,,,
5159,cookies,,,,,,,,,,,,,,,,,,,
713,chocolate,red wine,butter,french fries,cookies,low fat yogurt,,,,,,,,,,,,,,
3119,pancakes,,,,,,,,,,,,,,,,,,,
2567,chocolate,,,,,,,,,,,,,,,,,,,
1546,grated cheese,tomatoes,spaghetti,mineral water,milk,nonfat milk,light cream,chicken,extra dark chocolate,cottage cheese,strawberries,,,,,,,,,
7489,herb & pepper,spaghetti,low fat yogurt,,,,,,,,,,,,,,,,,
6913,meatballs,energy drink,fresh bread,,,,,,,,,,,,,,,,,
4695,spaghetti,mineral water,hot dogs,,,,,,,,,,,,,,,,,
4107,burgers,shrimp,spaghetti,olive oil,salmon,cooking oil,escalope,tomato juice,,,,,,,,,,,,
2763,ham,spaghetti,honey,low fat yogurt,,,,,,,,,,,,,,,,
5175,cookies,,,,,,,,,,,,,,,,,,,
3380,turkey,eggs,french fries,frozen smoothie,green tea,,,,,,,,,,,,,,,
2093,burgers,grated cheese,french fries,,,,,,,,,,,,,,,,,
6618,chicken,whole wheat rice,,,,,,,,,,,,,,,,,,
678,spaghetti,mineral water,soup,salmon,pancakes,chicken,mint green tea,low fat yogurt,,,,,,,,,,,,
5198,avocado,cottage cheese,,,,,,,,,,,,,,,,,,
2221,pickles,champagne,,,,,,,,,,,,,,,,,,
736,chocolate,french fries,frozen smoothie,escalope,fresh bread,,,,,,,,,,,,,,,
585,herb & pepper,frozen vegetables,ground beef,milk,,,,,,,,,,,,,,,,
4445,french fries,,,,,,,,,,,,,,,,,,,
622,mineral water,avocado,,,,,,,,,,,,,,,,,,
4231,ground beef,black tea,,,,,,,,,,,,,,,,,,
1238,cookies,hot dogs,green tea,,,,,,,,,,,,,,,,,
7173,vegetables mix,cereals,green tea,,,,,,,,,,,,,,,,,
2710,tomatoes,spaghetti,mineral water,meatballs,milk,chicken,rice,frozen smoothie,shampoo,tomato juice,cauliflower,candy bars,,,,,,,,
6503,french fries,,,,,,,,,,,,,,,,,,,
4277,avocado,milk,cereals,fresh bread,,,,,,,,,,,,,,,,
898,turkey,ground beef,spaghetti,pancakes,eggs,cake,chili,pet food,chocolate,,,,,,,,,,,
1690,eggs,burger sauce,escalope,,,,,,,,,,,,,,,,,
3984,milk,cooking oil,low fat yogurt,,,,,,,,,,,,,,,,,
5102,frozen vegetables,mineral water,energy bar,eggs,,,,,,,,,,,,,,,,
4,low fat yogurt,,,,,,,,,,,,,,,,,,,
4078,whole wheat rice,,,,,,,,,,,,,,,,,,,
6122,cake,french fries,,,,,,,,,,,,,,,,,,
6982,shrimp,french wine,,,,,,,,,,,,,,,,,,
5814,turkey,mineral water,chocolate,,,,,,,,,,,,,,,,,
5872,cereals,cookies,low fat yogurt,,,,,,,,,,,,,,,,,
3013,frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,
888,chocolate,spaghetti,champagne,yogurt cake,,,,,,,,,,,,,,,,
1740,whole wheat rice,,,,,,,,,,,,,,,,,,,
7469,french fries,pancakes,,,,,,,,,,,,,,,,,,
1002,flax seed,chocolate,champagne,escalope,,,,,,,,,,,,,,,,
382,french fries,,,,,,,,,,,,,,,,,,,
2569,low fat yogurt,,,,,,,,,,,,,,,,,,,
5974,olive oil,butter,pancakes,,,,,,,,,,,,,,,,,
5670,mineral water,avocado,eggs,blueberries,light cream,burger sauce,chicken,chili,frozen smoothie,pancakes,,,,,,,,,,
760,sandwich,salt,,,,,,,,,,,,,,,,,,
1901,spaghetti,mineral water,cake,light cream,cooking oil,eggplant,cottage cheese,pancakes,,,,,,,,,,,,
373,red wine,ground beef,spaghetti,mineral water,eggs,,,,,,,,,,,,,,,
6811,burgers,mushroom cream sauce,low fat yogurt,,,,,,,,,,,,,,,,,
6797,cookies,,,,,,,,,,,,,,,,,,,
1329,chocolate,spaghetti,mineral water,soup,muffins,eggs,chicken,french fries,fresh bread,mint,,,,,,,,,,
2341,burgers,spaghetti,milk,chocolate,french fries,cookies,green tea,,,,,,,,,,,,,
167,escalope,,,,,,,,,,,,,,,,,,,
3295,green tea,,,,,,,,,,,,,,,,,,,
5246,burgers,mineral water,,,,,,,,,,,,,,,,,,
509,mineral water,pancakes,eggs,french fries,,,,,,,,,,,,,,,,
4346,ham,spaghetti,,,,,,,,,,,,,,,,,,
2706,frozen vegetables,tomatoes,spaghetti,meatballs,milk,olive oil,butter,cooking oil,chicken,brownies,,,,,,,,,,
4374,grated cheese,mineral water,rice,frozen smoothie,,,,,,,,,,,,,,,,
1081,pepper,burger sauce,antioxydant juice,energy drink,,,,,,,,,,,,,,,,
4998,escalope,,,,,,,,,,,,,,,,,,,
3920,ground beef,spaghetti,butter,french wine,eggs,whole weat flour,hot dogs,sparkling water,brownies,body spray,energy drink,,,,,,,,,
6607,grated cheese,yams,muffins,oil,protein bar,,,,,,,,,,,,,,,
2060,red wine,ground beef,spaghetti,mineral water,eggs,soda,cooking oil,zucchini,,,,,,,,,,,,
3424,eggs,,,,,,,,,,,,,,,,,,,
256,mineral water,,,,,,,,,,,,,,,,,,,
582,frozen vegetables,mineral water,soup,milk,olive oil,,,,,,,,,,,,,,,
6286,pepper,spaghetti,mineral water,milk,salmon,chocolate,frozen smoothie,escalope,hot dogs,sparkling water,,,,,,,,,,
4291,escalope,,,,,,,,,,,,,,,,,,,
4781,burgers,ground beef,mineral water,olive oil,eggs,barbecue sauce,,,,,,,,,,,,,,
5528,burgers,herb & pepper,tomatoes,mineral water,chicken,honey,whole wheat rice,melons,tomato juice,,,,,,,,,,,
3633,green grapes,chocolate,,,,,,,,,,,,,,,,,,
6385,burgers,eggs,escalope,,,,,,,,,,,,,,,,,
430,parmesan cheese,ground beef,salmon,pancakes,champagne,,,,,,,,,,,,,,,
52,spaghetti,chocolate,,,,,,,,,,,,,,,,,,
4930,shrimp,ground beef,spaghetti,mineral water,cooking oil,tomato juice,,,,,,,,,,,,,,
6681,champagne,,,,,,,,,,,,,,,,,,,
4997,chocolate,milk,olive oil,green grapes,french fries,mint,,,,,,,,,,,,,,
3116,whole wheat pasta,meatballs,milk,cake,,,,,,,,,,,,,,,,
4628,french fries,cookies,,,,,,,,,,,,,,,,,,
7380,burgers,grated cheese,frozen vegetables,spaghetti,meatballs,butter,french fries,,,,,,,,,,,,,
6103,turkey,cake,french fries,,,,,,,,,,,,,,,,,
2632,escalope,champagne,,,,,,,,,,,,,,,,,,
5788,mineral water,energy bar,escalope,,,,,,,,,,,,,,,,,
1974,turkey,frozen vegetables,avocado,eggs,whole wheat rice,melons,zucchini,,,,,,,,,,,,,
5384,cake,,,,,,,,,,,,,,,,,,,
3793,tomatoes,ground beef,mineral water,milk,honey,french fries,pancakes,tomato juice,,,,,,,,,,,,
2925,whole wheat rice,chocolate,french fries,cookies,,,,,,,,,,,,,,,,
2941,fresh tuna,ham,mineral water,avocado,meatballs,olive oil,almonds,eggs,french fries,frozen smoothie,,,,,,,,,,
6348,frozen vegetables,,,,,,,,,,,,,,,,,,,
4370,avocado,milk,,,,,,,,,,,,,,,,,,
5663,green tea,,,,,,,,,,,,,,,,,,,
4828,shrimp,tomatoes,spaghetti,mineral water,salmon,chocolate,,,,,,,,,,,,,,
6167,frozen vegetables,spaghetti,mineral water,cooking oil,,,,,,,,,,,,,,,,
704,grated cheese,herb & pepper,,,,,,,,,,,,,,,,,,
2466,mineral water,melons,green tea,,,,,,,,,,,,,,,,,
1126,escalope,,,,,,,,,,,,,,,,,,,
5691,green beans,escalope,,,,,,,,,,,,,,,,,,
6333,burgers,milk,cooking oil,hot dogs,,,,,,,,,,,,,,,,
4588,muffins,french fries,,,,,,,,,,,,,,,,,,
6366,chocolate,cookies,light mayo,,,,,,,,,,,,,,,,,
5568,whole wheat pasta,hot dogs,,,,,,,,,,,,,,,,,,
856,parmesan cheese,milk,butter,black tea,eggs,frozen smoothie,light mayo,shampoo,low fat yogurt,green tea,,,,,,,,,,
6703,shrimp,,,,,,,,,,,,,,,,,,,
7294,turkey,frozen vegetables,mineral water,eggs,chocolate,fresh bread,,,,,,,,,,,,,,
2961,cookies,champagne,,,,,,,,,,,,,,,,,,
487,red wine,spaghetti,milk,eggs,chocolate,,,,,,,,,,,,,,,
2825,burgers,spaghetti,avocado,cake,brownies,salt,,,,,,,,,,,,,,
7057,cake,escalope,,,,,,,,,,,,,,,,,,
5289,whole wheat pasta,cake,melons,green tea,,,,,,,,,,,,,,,,
2270,red wine,french wine,salmon,french fries,,,,,,,,,,,,,,,,
4058,frozen vegetables,whole wheat pasta,ground beef,spaghetti,milk,chicken,eggs,french fries,green tea,,,,,,,,,,,
2067,burgers,,,,,,,,,,,,,,,,,,,
5040,cookies,,,,,,,,,,,,,,,,,,,
7272,burgers,ground beef,,,,,,,,,,,,,,,,,,
7326,milk,champagne,,,,,,,,,,,,,,,,,,
4786,cake,green tea,strawberries,,,,,,,,,,,,,,,,,
3798,cake,chocolate,low fat yogurt,,,,,,,,,,,,,,,,,
5972,soup,energy bar,cake,mint,,,,,,,,,,,,,,,,
3599,burgers,red wine,tomatoes,spaghetti,meatballs,bacon,salmon,shampoo,,,,,,,,,,,,
3945,mineral water,chocolate,milk,eggs,toothpaste,low fat yogurt,,,,,,,,,,,,,,
4145,salmon,vegetables mix,,,,,,,,,,,,,,,,,,
4995,shrimp,ground beef,cooking oil,champagne,cottage cheese,brownies,,,,,,,,,,,,,,
7099,turkey,herb & pepper,spaghetti,rice,cooking oil,eggplant,white wine,magazines,,,,,,,,,,,,
4380,champagne,,,,,,,,,,,,,,,,,,,
996,frozen smoothie,,,,,,,,,,,,,,,,,,,
6349,tomato sauce,olive oil,gums,strawberries,low fat yogurt,,,,,,,,,,,,,,,
4134,frozen vegetables,,,,,,,,,,,,,,,,,,,
1687,muffins,french fries,yogurt cake,,,,,,,,,,,,,,,,,
2684,soda,cottage cheese,shampoo,,,,,,,,,,,,,,,,,
3164,pancakes,,,,,,,,,,,,,,,,,,,
1178,tomatoes,ground beef,mineral water,eggs,cake,green tea,pancakes,,,,,,,,,,,,,
1618,pepper,chocolate,french fries,cookies,strawberries,babies food,fresh bread,magazines,,,,,,,,,,,,
6487,burgers,eggs,,,,,,,,,,,,,,,,,,
1050,chocolate,mushroom cream sauce,,,,,,,,,,,,,,,,,,
1719,green tea,,,,,,,,,,,,,,,,,,,
6785,ham,frozen vegetables,eggs,mint green tea,french fries,pancakes,low fat yogurt,,,,,,,,,,,,,
5139,turkey,spaghetti,,,,,,,,,,,,,,,,,,
6993,light mayo,,,,,,,,,,,,,,,,,,,
6085,chocolate,french fries,,,,,,,,,,,,,,,,,,
3956,carrots,,,,,,,,,,,,,,,,,,,
3314,french fries,,,,,,,,,,,,,,,,,,,
5266,low fat yogurt,,,,,,,,,,,,,,,,,,,
1013,spaghetti,eggs,chocolate,frozen smoothie,cookies,green tea,,,,,,,,,,,,,,
6100,whole wheat pasta,milk,,,,,,,,,,,,,,,,,,
2426,chocolate,mineral water,salmon,whole wheat rice,chicken,clothes accessories,,,,,,,,,,,,,,
4195,tomatoes,french fries,strawberries,,,,,,,,,,,,,,,,,
6481,grated cheese,olive oil,eggs,oil,french fries,cottage cheese,pancakes,light mayo,,,,,,,,,,,,
1438,spaghetti,pancakes,,,,,,,,,,,,,,,,,,
3017,ham,eggs,french fries,,,,,,,,,,,,,,,,,
2619,chocolate,french fries,brownies,,,,,,,,,,,,,,,,,
6444,tomatoes,parmesan cheese,vegetables mix,eggs,barbecue sauce,cookies,,,,,,,,,,,,,,
2589,chocolate,muffins,cooking oil,french fries,,,,,,,,,,,,,,,,
313,herb & pepper,ground beef,,,,,,,,,,,,,,,,,,
5189,turkey,burgers,grated cheese,tomatoes,pepper,mineral water,pancakes,whole wheat rice,tomato juice,low fat yogurt,honey,,,,,,,,,
1933,frozen vegetables,spaghetti,mineral water,frozen smoothie,cottage cheese,green tea,,,,,,,,,,,,,,
3156,burgers,parmesan cheese,almonds,chicken,muffins,hot dogs,brownies,strawberries,fresh bread,,,,,,,,,,,
5466,herb & pepper,frozen vegetables,mineral water,energy bar,salmon,,,,,,,,,,,,,,,
6519,red wine,tomatoes,spaghetti,mineral water,soup,blueberries,,,,,,,,,,,,,,
3779,frozen vegetables,spaghetti,chocolate,olive oil,gums,burger sauce,frozen smoothie,pancakes,green tea,,,,,,,,,,,
1538,ground beef,spaghetti,mineral water,soup,chicken,pancakes,champagne,fresh bread,,,,,,,,,,,,
1814,frozen vegetables,spaghetti,mineral water,vegetables mix,,,,,,,,,,,,,,,,
7397,shrimp,pasta,soup,almonds,chocolate,fresh bread,,,,,,,,,,,,,,
5473,milk,chicken,extra dark chocolate,frozen smoothie,low fat yogurt,,,,,,,,,,,,,,,
162,low fat yogurt,,,,,,,,,,,,,,,,,,,
3446,chocolate,red wine,shrimp,spaghetti,green tea,,,,,,,,,,,,,,,
3412,burgers,french fries,escalope,,,,,,,,,,,,,,,,,
3385,spaghetti,milk,pancakes,,,,,,,,,,,,,,,,,
3073,tomatoes,mineral water,olive oil,,,,,,,,,,,,,,,,,
1176,oil,,,,,,,,,,,,,,,,,,,
1043,turkey,burgers,frozen vegetables,mineral water,milk,cake,chicken,chocolate,french fries,frozen smoothie,,,,,,,,,,
5917,mineral water,soup,avocado,blueberries,tea,escalope,cookies,magazines,,,,,,,,,,,,
2615,soup,,,,,,,,,,,,,,,,,,,
5965,avocado,eggs,brownies,,,,,,,,,,,,,,,,,
5202,antioxydant juice,green tea,escalope,,,,,,,,,,,,,,,,,
2139,chocolate,oil,magazines,,,,,,,,,,,,,,,,,
5607,cookies,,,,,,,,,,,,,,,,,,,
4394,mineral water,chocolate,chicken,,,,,,,,,,,,,,,,,
3600,french fries,,,,,,,,,,,,,,,,,,,
4812,shallot,,,,,,,,,,,,,,,,,,,
692,chocolate,french fries,strawberries,fresh bread,,,,,,,,,,,,,,,,
4499,milk,,,,,,,,,,,,,,,,,,,
6319,mineral water,french fries,protein bar,,,,,,,,,,,,,,,,,
6422,turkey,grated cheese,soup,green tea,,,,,,,,,,,,,,,,
513,soup,meatballs,milk,energy bar,,,,,,,,,,,,,,,,
4242,red wine,mineral water,soup,avocado,eggs,oil,corn,chocolate bread,french fries,body spray,fresh bread,green tea,,,,,,,,
3529,cake,,,,,,,,,,,,,,,,,,,
3852,frozen vegetables,parmesan cheese,,,,,,,,,,,,,,,,,,
2421,brownies,,,,,,,,,,,,,,,,,,,
2126,milk,brownies,,,,,,,,,,,,,,,,,,
788,chocolate,rice,eggplant,hand protein bar,zucchini,,,,,,,,,,,,,,,
2888,spaghetti,cooking oil,,,,,,,,,,,,,,,,,,
4038,cookies,strawberries,,,,,,,,,,,,,,,,,,
235,fresh tuna,shrimp,pasta,mineral water,olive oil,eggs,cake,brownies,tomato juice,,,,,,,,,,,
5765,soup,strong cheese,light cream,cottage cheese,,,,,,,,,,,,,,,,
4506,tomatoes,chocolate,,,,,,,,,,,,,,,,,,
3592,herb & pepper,red wine,mineral water,soup,milk,chicken,corn,carrots,whole weat flour,cereals,french fries,pancakes,asparagus,,,,,,,
4632,olive oil,salmon,honey,,,,,,,,,,,,,,,,,
4548,turkey,frozen vegetables,tomatoes,avocado,energy bar,pancakes,light cream,cooking oil,pet food,oatmeal,,,,,,,,,,
6248,parmesan cheese,whole wheat pasta,french fries,,,,,,,,,,,,,,,,,
7026,chocolate,escalope,,,,,,,,,,,,,,,,,,
7054,herb & pepper,ground beef,spaghetti,chocolate,french fries,,,,,,,,,,,,,,,
179,candy bars,,,,,,,,,,,,,,,,,,,
4707,butter,french fries,protein bar,,,,,,,,,,,,,,,,,
2099,frozen vegetables,spaghetti,,,,,,,,,,,,,,,,,,
6411,spaghetti,meatballs,butter,almonds,chicken,fromage blanc,strong cheese,green beans,,,,,,,,,,,,
539,spaghetti,soup,milk,chutney,cooking oil,asparagus,tomato juice,,,,,,,,,,,,,
7210,chocolate,spaghetti,mineral water,cake,,,,,,,,,,,,,,,,
6591,herb & pepper,mint green tea,,,,,,,,,,,,,,,,,,
5774,champagne,,,,,,,,,,,,,,,,,,,
980,eggs,green tea,,,,,,,,,,,,,,,,,,
1596,grated cheese,frozen vegetables,mineral water,eggs,cooking oil,,,,,,,,,,,,,,,
4063,green tea,,,,,,,,,,,,,,,,,,,
3753,turkey,shrimp,whole wheat pasta,mineral water,milk,pancakes,bug spray,brownies,body spray,,,,,,,,,,,
7341,turkey,herb & pepper,red wine,parmesan cheese,mineral water,olive oil,bacon,salmon,green tea,french fries,champagne,cottage cheese,tomato juice,,,,,,,
3519,chocolate,spaghetti,mineral water,soup,pancakes,eggs,hand protein bar,,,,,,,,,,,,,
5400,mineral water,cooking oil,french fries,fresh bread,candy bars,,,,,,,,,,,,,,,
6096,frozen vegetables,ground beef,mineral water,flax seed,eggs,escalope,brownies,,,,,,,,,,,,,
1248,ham,mineral water,spinach,cooking oil,french fries,protein bar,,,,,,,,,,,,,,
887,turkey,shrimp,,,,,,,,,,,,,,,,,,
7120,herb & pepper,,,,,,,,,,,,,,,,,,,
2884,mineral water,butter,pancakes,low fat yogurt,,,,,,,,,,,,,,,,
607,eggs,low fat yogurt,,,,,,,,,,,,,,,,,,
4816,eggs,cooking oil,chocolate,escalope,,,,,,,,,,,,,,,,
5537,french fries,cookies,,,,,,,,,,,,,,,,,,
2757,shrimp,frozen vegetables,milk,butter,pancakes,barbecue sauce,eggplant,,,,,,,,,,,,,
1130,cookies,,,,,,,,,,,,,,,,,,,
3145,melons,,,,,,,,,,,,,,,,,,,
2815,green tea,french fries,,,,,,,,,,,,,,,,,,
753,turkey,red wine,mineral water,chocolate,soup,light cream,rice,oil,chicken,barbecue sauce,,,,,,,,,,
7415,burgers,eggs,escalope,,,,,,,,,,,,,,,,,
4165,spaghetti,black tea,,,,,,,,,,,,,,,,,,
4747,spaghetti,mineral water,cooking oil,oatmeal,hot dogs,green tea,,,,,,,,,,,,,,
3493,spaghetti,mineral water,soup,salmon,green grapes,champagne,mashed potato,cottage cheese,low fat yogurt,,,,,,,,,,,
2896,cake,,,,,,,,,,,,,,,,,,,
2189,turkey,mineral water,butter,french wine,bacon,eggs,whole wheat rice,cooking oil,low fat yogurt,,,,,,,,,,,
6625,spinach,ketchup,pancakes,tomato juice,green tea,,,,,,,,,,,,,,,
3967,honey,chocolate,french fries,escalope,,,,,,,,,,,,,,,,
4902,chocolate,whole wheat rice,melons,,,,,,,,,,,,,,,,,
4824,candy bars,,,,,,,,,,,,,,,,,,,
6497,french fries,,,,,,,,,,,,,,,,,,,
2899,yams,,,,,,,,,,,,,,,,,,,
562,eggs,green tea,,,,,,,,,,,,,,,,,,
3607,whole wheat pasta,spaghetti,mineral water,almonds,cooking oil,chocolate,mint,,,,,,,,,,,,,
2389,cookies,,,,,,,,,,,,,,,,,,,
2439,ground beef,,,,,,,,,,,,,,,,,,,
494,green tea,french fries,,,,,,,,,,,,,,,,,,
2526,burgers,mineral water,eggs,,,,,,,,,,,,,,,,,
6212,meatballs,mint green tea,,,,,,,,,,,,,,,,,,
7037,energy bar,chicken,,,,,,,,,,,,,,,,,,
5852,spaghetti,mineral water,soup,pancakes,tomato juice,,,,,,,,,,,,,,,
405,cookies,,,,,,,,,,,,,,,,,,,
1006,chocolate,grated cheese,parmesan cheese,spaghetti,pancakes,eggs,cake,french fries,energy drink,,,,,,,,,,,
6410,olive oil,low fat yogurt,,,,,,,,,,,,,,,,,,
4860,vegetables mix,muffins,spinach,,,,,,,,,,,,,,,,,
544,chocolate,light mayo,,,,,,,,,,,,,,,,,,
2866,tomatoes,ground beef,chocolate,butter,eggs,green tea,french fries,escalope,mushroom cream sauce,,,,,,,,,,,
2998,burgers,frozen vegetables,whole wheat pasta,mineral water,chocolate,eggs,blueberries,burger sauce,chicken,oatmeal,toothpaste,,,,,,,,,
947,avocado,honey,,,,,,,,,,,,,,,,,,
6580,mineral water,soup,milk,mashed potato,tomato juice,fresh bread,candy bars,,,,,,,,,,,,,
6630,burgers,mineral water,soup,cereals,,,,,,,,,,,,,,,,
575,turkey,parmesan cheese,spaghetti,meatballs,butter,,,,,,,,,,,,,,,
5152,frozen smoothie,,,,,,,,,,,,,,,,,,,
4651,mineral water,whole wheat rice,,,,,,,,,,,,,,,,,,
231,whole wheat pasta,honey,,,,,,,,,,,,,,,,,,
1256,mineral water,soup,muffins,pet food,eggplant,low fat yogurt,,,,,,,,,,,,,,
4429,mint green tea,cottage cheese,,,,,,,,,,,,,,,,,,
147,chocolate,milk,,,,,,,,,,,,,,,,,,
3786,whole wheat pasta,olive oil,body spray,,,,,,,,,,,,,,,,,
6413,frozen vegetables,eggs,honey,hot dogs,light mayo,,,,,,,,,,,,,,,
2799,cookies,,,,,,,,,,,,,,,,,,,
4054,burgers,milk,cake,eggplant,green tea,,,,,,,,,,,,,,,
5418,spaghetti,eggs,champagne,,,,,,,,,,,,,,,,,
5262,fresh tuna,butter,,,,,,,,,,,,,,,,,,
1584,turkey,grated cheese,shrimp,tomatoes,spaghetti,olive oil,butter,spinach,hot dogs,low fat yogurt,,,,,,,,,,
4792,vegetables mix,,,,,,,,,,,,,,,,,,,
6157,shrimp,tomatoes,spaghetti,flax seed,salmon,cake,brownies,,,,,,,,,,,,,
4131,shrimp,tomatoes,ground beef,mineral water,oil,,,,,,,,,,,,,,,
